Word,Frequency
ArgumentException,9
ArgumentNullException,9
ConfigurationException,10
DirectoryNotFoundException,11
DivideByZeroException,10
FileNotFoundException,9
FormatException,9
IOException,10
IndexOutOfRangeException,9
InvalidCastException,10
InvalidOperationException,19
KeyNotFoundException,10
NullReferenceException,10
ObjectDisposedException,11
OverflowException,12
SqlException,11
StackOverflowExceptio,2
StackOverflowException,9
TimeoutException,9
UnauthorizedAccessException,9

Time,Goel-Okumoto,Poisson
1,1.90325,0.000496729
2,3.62538,0.00245881
3,5.18364,0.00811407
4,6.5936,0.0200823
5,7.86939,0.039763
6,9.02377,0.065609
7,10.0683,0.0927898
8,11.0134,0.114827
9,11.8686,0.12631
10,12.6424,0.125047
